[18:35:33.370] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (e44459b85b6b9f40370c8fc07e0173dd)
[18:35:34.039] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:35:34.326] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:35:34.560] | INFO  | main                             | YandexComp                       | driver shutDown
[18:35:51.838] | INFO  | main                             | YandexComp                       | Initialized driver
[18:35:54.394] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (ef31af7abffc876790007b6079d5bc23)
[18:35:55.175] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:35:55.505] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:35:55.852] | INFO  | main                             | YandexComp                       | driver shutDown
[18:35:56.693] | INFO  | main                             | YandexComp                       | Initialized driver
[18:35:58.487] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (282cbd3fc00e507a12d3b08ed80dd286)
[18:35:59.234] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:35:59.507] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:35:59.747] | INFO  | main                             | YandexComp                       | driver shutDown
[18:36:22.718] | INFO  | main                             | YandexComp                       | Initialized driver
[18:36:24.560] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (39b12d846061766561fb34d452c86e6e)
[18:36:25.311] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[18:36:28.038] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[18:36:31.372] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[18:36:31.815] | INFO  | main                             | YandexComp                       | Select HUAWEI
[18:36:32.166] | INFO  | main                             | YandexComp                       | Select Xiaomi
[18:36:33.709] | INFO  | main                             | YandexComp                       | Wait button is clickable
[18:36:33.902] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[18:36:34.129] | INFO  | main                             | YandexComp                       | driver shutDown
[19:10:13.508] | INFO  | main                             | YandexComp                       | Initialized driver
[19:10:15.955] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (90070a310d5583f7783132173f1cae1e)
[19:10:16.643] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:10:19.766] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:10:22.973] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:10:23.368] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:10:23.705] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:10:25.459] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:10:25.649] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[19:10:25.843] | INFO  | main                             | YandexComp                       | driver shutDown
